Land/Sea,ERA5Year,ERA5Month,ERA5Day,ERA5Hour,MODIS_Day,MODIS_Hour,MODIS_Minute,VIIRSDay,VIIRSHour,VIIRSMinute,iPos,jPos,DeltaTime1,DeltaTime2,B1_MODIS,B2_MODIS,B3_MODIS,B4_MODIS,B5_MODIS,B6_MODIS,B7_MODIS,B8_MODIS,B9_MODIS,B10_MODIS,B11_MODIS,B12_MODIS,B13_MODIS,B14_MODIS,B15_MODIS,B16_MODIS,B17_MODIS,B18_MODIS,B19_MODIS,B1_VIIRS,B2_VIIRS,B3_VIIRS,B4_VIIRS,B5_VIIRS,B6_VIIRS,B7_VIIRS,B8_VIIRS,B9_VIIRS,B10_VIIRS,B11_VIIRS,VZA_MODIS,VAA_MODIS,SZA_MODIS,SAA_MODIS,CLM_MODIS,VZA_VIIRS,VAA_VIIRS,SZA_VIIRS,SAA_VIIRS,CLM_VIIRS,NDVI,dTime
L,2021,03,05,13,5,13,15,5,13,0,241,1408,15.2,0.3,71.7381287,55.5773926,76.8494263,65.5029984,29.5663395,15.8169346,5.3143854,78.4107590,76.5501862,68.8442230,63.0548782,61.2732277,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,43.4142914,78.0665817,74.3167267,71.7155838,67.8035126,75.9770660,0.0000000,56.9340019,30.6289062,0.1050773,16.9428711,4.0946875,54.2,76.2,36.4,-166.9,4.00,52.0,75.4,35.8,-173.0,4.00,0.06,895.2,
L,2021,03,05,13,5,13,15,5,13,0,241,1409,15.2,0.3,67.5836792,50.1834259,74.7956238,62.5602379,27.8001900,15.6478901,5.3164802,77.3889847,75.0085068,66.5221481,60.3617554,62.0918617,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,38.1781311,77.4270020,73.2039261,69.7369080,65.3661957,72.1179581,0.0000000,52.0492744,28.9206409,0.0849562,16.7336426,4.1802225,53.2,76.0,36.4,-166.5,4.00,51.2,75.1,35.8,-172.6,4.00,0.05,895.5,
L,2021,03,05,13,5,13,15,5,13,0,241,1410,15.2,0.3,73.3793182,55.3310509,78.1853638,66.9924164,32.0917511,17.8943920,6.1243558,79.6003876,77.8917313,70.0211258,64.3385696,66.0091705,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,41.4086113,79.4364319,75.6586151,72.7777939,69.0447693,77.6231232,0.0000000,56.5057220,32.6687546,0.0734435,18.9536839,4.8225393,52.3,76.4,36.5,-166.1,4.00,50.3,75.6,35.9,-172.2,4.00,0.05,895.2,
L,2021,03,05,13,5,13,15,5,13,0,241,1411,15.2,0.2,79.6494598,60.6280289,82.0199509,72.1009598,33.8522682,18.8604240,6.4635634,81.7874908,81.0234909,74.1253662,69.1248703,69.9335861,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,44.9348869,81.8954163,78.9992599,77.1609802,74.2272339,83.8736649,0.0000000,61.5563545,34.2268677,0.0715415,19.7789516,4.9841943,51.3,76.9,36.5,-165.6,4.00,49.3,75.3,35.9,-171.8,4.00,0.06,894.8,
L,2021,03,05,13,5,13,15,5,13,0,241,1412,15.1,0.2,82.3189163,61.6610756,83.0447311,74.3250275,34.5326118,19.4810810,6.5955505,81.8301544,81.5885315,75.2752609,70.7114182,67.8777924,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,45.8246002,81.9534836,79.4680710,78.0318985,75.8773422,85.5118027,0.0000000,61.7306213,34.7307663,0.0716789,20.2539711,5.0857029,50.2,76.5,36.6,-165.2,4.00,48.4,75.9,35.9,-171.4,4.00,0.04,895.5,
L,2021,03,05,13,5,13,15,5,13,0,241,1413,15.1,0.2,77.3016205,56.1794624,81.4553757,72.3592453,31.8279762,18.2678356,6.0982742,80.5833282,80.2473145,73.6093979,69.2684555,69.1553116,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,41.7390633,81.0224915,78.5597763,76.7812195,74.4521790,80.6354980,0.0000000,56.6450005,31.8085957,0.0715952,18.8752861,4.6072879,49.2,77.1,36.6,-164.9,4.00,47.4,76.5,36.0,-170.9,4.00,0.03,895.5,
L,2021,03,05,13,5,13,15,5,13,0,241,1414,15.1,0.2,101.5468521,77.6361923,90.5285873,86.4879837,42.1345329,23.1183720,8.0488119,85.2726059,87.1418076,83.6203842,80.3255157,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,58.2778130,85.8290634,85.3885727,86.9392090,88.2954178,106.5402603,0.0000000,78.3669968,42.0308189,0.0710168,23.9292316,6.2332487,48.1,76.8,36.7,-164.4,4.00,46.4,76.2,36.0,-170.5,3.84,0.04,895.8,
L,2021,03,05,13,5,13,15,5,13,0,241,1415,15.1,0.2,102.8911438,80.1111832,86.5258942,83.3399658,43.2284737,23.4778538,8.3284464,82.1989288,83.4704208,79.8564301,77.3286819,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,60.4341812,83.1623459,82.0449448,83.2675323,85.1817093,108.3452072,0.0000000,80.8596115,43.3779716,0.0725814,24.2567482,6.5597639,47.0,77.3,36.7,-164.1,4.00,45.4,76.8,36.0,-170.1,3.96,0.05,896.2,
L,2021,03,05,13,5,13,15,5,13,0,241,1416,15.1,0.2,101.5876007,79.2511292,85.5935898,82.5619125,43.1362610,23.4786148,8.2857628,81.2761917,82.4977417,79.0134811,76.7936478,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,59.7503815,82.4965057,81.3983612,82.7109070,84.6721649,107.2022781,0.0000000,80.3013000,43.2443390,0.0715176,24.2437553,6.4817386,45.9,77.8,36.8,-163.7,4.00,44.3,76.5,36.1,-169.7,4.00,0.06,895.2,
L,2021,03,05,13,5,13,15,5,13,0,241,1417,15.1,0.1,97.4466248,75.7874603,83.2803574,80.0262070,41.1360474,22.4169388,7.8692074,79.2871475,80.3670883,76.8101120,74.5555115,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,57.3310738,80.4504852,79.1621857,80.1465530,81.9498367,102.3596115,0.0000000,76.4144974,41.1745338,0.0714973,23.0710793,6.1477156,44.6,77.6,36.9,-163.2,4.00,43.3,77.1,36.1,-169.3,4.00,0.06,896.2,
